Region,Site,Lat,Lon,coreNo,soilNo,bp,rcybp,event,subsidence,Uncertainty,source,quality,method
Oregon,Nestucca Bay,,,,2,,,?,0.38,0.40,21,3,m ac; slpm be (via 8 cm sd)
Oregon,Nestucca Bay,,,,3,,,?,0.1,0.40,21,3,m ac; rm be
Oregon,Nestucca Bay,45.187,123.948,Duck 3,1,,,T1,0.78,0.50,"10,20,21",3,"rm, 10% org ac; pm, 26% org be (via 8 cm sd)"
Oregon,Nestucca Bay,,,,2,,,?,0.1,0.40,21,3,m ac; rm be
Oregon,Nestucca Bay,45.187,123.950,Duck 2,1,,,T1,0.88,0.50,21,3,m ac; pm be (via 8 cm sd)
Oregon,Nestucca Bay,,,,2,,,?,0.1,0.40,21,3,m ac; rm be
Oregon,Nestucca Bay,45.188,123.949,Duck 1,1,312-525,400plusMinus60,T1,1.25,0.50,"10,20,21",3,rm ac; mp be (via 5 cm sd)
Oregon,Nestucca Bay,45.180,123.942,,1,,,T1,0.79,0.30,23,1,Foram transfer function analysis
Oregon,Nestucca Bay,45.179,123.927,Nestucca 4,1,,,?,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,,,,2,,,?,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,3,,,?,1,0.50,21,3,slpm ac; mp be
Oregon,Nestucca Bay,45.175,123.928,Nestucca 3,1,,,?,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,2,,,?,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,,,,3,,,?,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,45.165,123.945,L. Nestucca 1,1,,,?,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,2,,,?,0.85,0.50,21,3,slpm ac; pm be (via 35 cm sd)
Oregon,Nestucca Bay,45.155,123.930,L. Nestucca 4,1,,,T4a,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,2,,,T5,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,3,,,T6,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,4,,,T7,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,,,,5,,,T8,0.38,0.40,21,3,m ac; slpm be (via 8 cm sd)
Oregon,Nestucca Bay,,,,6,,,T9,0.3,0.40,21,3,m ac; slpm be
Oregon,Nestucca Bay,45.154,123.929,Nestucca 2,1,,,T4a,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,2,,,T5,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,3,,,T5a,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,4,,,T6,0.5,0.50,21,3,slpm ac; pm be
Oregon,Nestucca Bay,,,,5,,,T7,0.8,0.50,21,3,"m, Triglochin ac; pm be"
Oregon,Nestucca Bay,,,,6,,,T8,0.8,0.50,21,3,m ac; pm be
Oregon,Nestucca Bay,45.153,123.932,L. Nestucca 5,1,1329-1686,?1580plusMinus70?,?,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,2,1280-1606,?1510plusMinus90?,?,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,3,1281-1521,1460plusMinus70,T4a,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,4,,,T5,0.2,0.50,21,3,"pm, Triglochin ac; pm be"
Oregon,Nestucca Bay,,,,5,1613-1949,1860plusMinus70,T5a,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,6,2365-2781,2560plusMinus70,T6,1,0.50,21,3,slpm ac; mp be
Oregon,Nestucca Bay,,,,7,2975-3443,3040plusMinus90,T7,1,0.50,21,3,"slpm, Triglochin ac; mp be"
Oregon,Nestucca Bay,,,,8,3344-3689,3260plusMinus80,T8,0.55,0.50,21,3,"slpm, Triglochin ac; pm be (via 5 cm sd)"
Oregon,Nestucca Bay,,,,9,3845-4380,3720plusMinus80,T9,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,10,,,T10,0.5,0.50,21,3,pm ac; mp be
Oregon,Nestucca Bay,,,,11,4527-4962,4220plusMinus80,T10R1,1.3,0.50,21,3,m ac; mp be
Oregon,Salmon River Estuary,45.032,123.987,,1,,,T1,1,0.50,10,3,"Triglochin, rm ac; mp be."
